battery_id,cycle_index,status,current_profile_type,ambient_temp_c,record_count,capacity_ah,dataset_id,dataset_path,source_mat_path
B0018,166,canonical,constant_discharge,24.0,257,1.52226,nasa_ames_b0018_discharge_0166,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0018\nasa_ames_b0018_discharge_0166.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0018.mat
B0018,318,canonical,constant_discharge,24.0,200,1.341051,nasa_ames_b0018_discharge_0318,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0018\nasa_ames_b0018_discharge_0318.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\1. BatteryAgingARC-FY08Q4\B0018.mat
B0025,3,trusted,pulse_discharge,24.0,641,1.847011,nasa_ames_b0025_discharge_0003,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0025\nasa_ames_b0025_discharge_0003.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0025.mat
B0025,40,trusted,pulse_discharge,24.0,581,1.810901,nasa_ames_b0025_discharge_0040,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0025\nasa_ames_b0025_discharge_0040.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0025.mat
B0025,77,trusted,pulse_discharge,24.0,531,1.767789,nasa_ames_b0025_discharge_0077,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0025\nasa_ames_b0025_discharge_0077.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0025.mat
B0026,3,trusted,pulse_discharge,24.0,641,1.81325,nasa_ames_b0026_discharge_0003,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0026\nasa_ames_b0026_discharge_0003.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0026.mat
B0026,40,trusted,pulse_discharge,24.0,581,1.799305,nasa_ames_b0026_discharge_0040,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0026\nasa_ames_b0026_discharge_0040.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0026.mat
B0026,77,trusted,pulse_discharge,24.0,531,1.768754,nasa_ames_b0026_discharge_0077,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0026\nasa_ames_b0026_discharge_0077.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0026.mat
B0027,3,trusted,pulse_discharge,24.0,641,1.823308,nasa_ames_b0027_discharge_0003,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0027\nasa_ames_b0027_discharge_0003.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0027.mat
B0027,40,trusted,pulse_discharge,24.0,581,1.812001,nasa_ames_b0027_discharge_0040,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0027\nasa_ames_b0027_discharge_0040.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0027.mat
B0027,77,trusted,pulse_discharge,24.0,531,1.770093,nasa_ames_b0027_discharge_0077,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0027\nasa_ames_b0027_discharge_0077.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0027.mat
B0028,3,trusted,pulse_discharge,24.0,641,1.804685,nasa_ames_b0028_discharge_0003,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0028\nasa_ames_b0028_discharge_0003.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0028.mat
B0028,40,trusted,pulse_discharge,24.0,581,1.773839,nasa_ames_b0028_discharge_0040,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0028\nasa_ames_b0028_discharge_0040.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0028.mat
B0028,77,trusted,pulse_discharge,24.0,531,1.717234,nasa_ames_b0028_discharge_0077,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\trusted\b0028\nasa_ames_b0028_discharge_0077.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0028.mat
B0029,1,canonical,constant_discharge,43.0,169,1.697507,nasa_ames_b0029_discharge_0001,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0029\nasa_ames_b0029_discharge_0001.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0029.mat
B0029,49,canonical,constant_discharge,43.0,158,1.737913,nasa_ames_b0029_discharge_0049,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0029\nasa_ames_b0029_discharge_0049.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0029.mat
B0029,93,canonical,constant_discharge,43.0,140,1.61208,nasa_ames_b0029_discharge_0093,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0029\nasa_ames_b0029_discharge_0093.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0029.mat
B0030,1,canonical,constant_discharge,43.0,169,1.656071,nasa_ames_b0030_discharge_0001,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0030\nasa_ames_b0030_discharge_0001.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0030.mat
B0030,49,canonical,constant_discharge,43.0,158,1.668705,nasa_ames_b0030_discharge_0049,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0030\nasa_ames_b0030_discharge_0049.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0030.mat
B0030,93,canonical,constant_discharge,43.0,140,1.56278,nasa_ames_b0030_discharge_0093,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0030\nasa_ames_b0030_discharge_0093.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0030.mat
B0031,1,canonical,constant_discharge,43.0,169,1.666675,nasa_ames_b0031_discharge_0001,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0031\nasa_ames_b0031_discharge_0001.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0031.mat
B0031,49,canonical,constant_discharge,43.0,158,1.762837,nasa_ames_b0031_discharge_0049,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0031\nasa_ames_b0031_discharge_0049.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0031.mat
B0031,93,canonical,constant_discharge,43.0,140,1.667299,nasa_ames_b0031_discharge_0093,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0031\nasa_ames_b0031_discharge_0093.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0031.mat
B0032,1,canonical,constant_discharge,43.0,169,1.704864,nasa_ames_b0032_discharge_0001,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0032\nasa_ames_b0032_discharge_0001.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0032.mat
B0032,49,canonical,constant_discharge,43.0,158,1.769755,nasa_ames_b0032_discharge_0049,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0032\nasa_ames_b0032_discharge_0049.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0032.mat
B0032,93,canonical,constant_discharge,43.0,140,1.6358,nasa_ames_b0032_discharge_0093,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0032\nasa_ames_b0032_discharge_0093.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0032.mat
B0038,0,canonical,constant_discharge,24.0,104,0.898057,nasa_ames_b0038_discharge_0000,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0038\nasa_ames_b0038_discharge_0000.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0038.mat
B0038,60,canonical,constant_discharge,44.0,620,1.779678,nasa_ames_b0038_discharge_0060,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0038\nasa_ames_b0038_discharge_0060.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0038.mat
B0038,120,canonical,constant_discharge,44.0,129,1.530148,nasa_ames_b0038_discharge_0120,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0038\nasa_ames_b0038_discharge_0120.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0038.mat
B0039,0,canonical,constant_discharge,24.0,104,0.119038,nasa_ames_b0039_discharge_0000,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0039\nasa_ames_b0039_discharge_0000.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0039.mat
B0039,60,canonical,constant_discharge,44.0,620,1.763839,nasa_ames_b0039_discharge_0060,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0039\nasa_ames_b0039_discharge_0060.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0039.mat
B0039,120,canonical,constant_discharge,44.0,129,1.315339,nasa_ames_b0039_discharge_0120,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0039\nasa_ames_b0039_discharge_0120.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0039.mat
B0040,0,canonical,constant_discharge,24.0,104,0.673463,nasa_ames_b0040_discharge_0000,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0040\nasa_ames_b0040_discharge_0000.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0040.mat
B0040,60,canonical,constant_discharge,44.0,620,1.732372,nasa_ames_b0040_discharge_0060,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0040\nasa_ames_b0040_discharge_0060.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0040.mat
B0040,120,canonical,constant_discharge,44.0,129,0.55699,nasa_ames_b0040_discharge_0120,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0040\nasa_ames_b0040_discharge_0120.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\3. BatteryAgingARC_25-44\B0040.mat
B0045,0,canonical,constant_discharge,4.0,490,1.081979,nasa_ames_b0045_discharge_0000,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0045\nasa_ames_b0045_discharge_0000.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0045.mat
B0045,92,canonical,constant_discharge,4.0,341,0.695773,nasa_ames_b0045_discharge_0092,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0045\nasa_ames_b0045_discharge_0092.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0045.mat
B0045,180,canonical,constant_discharge,4.0,294,0.606948,nasa_ames_b0045_discharge_0180,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0045\nasa_ames_b0045_discharge_0180.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0045.mat
B0046,0,canonical,constant_discharge,4.0,490,1.728239,nasa_ames_b0046_discharge_0000,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0046\nasa_ames_b0046_discharge_0000.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0046.mat
B0046,92,canonical,constant_discharge,4.0,341,1.272346,nasa_ames_b0046_discharge_0092,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0046\nasa_ames_b0046_discharge_0092.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0046.mat
B0046,180,canonical,constant_discharge,4.0,294,1.153804,nasa_ames_b0046_discharge_0180,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0046\nasa_ames_b0046_discharge_0180.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0046.mat
B0047,0,canonical,constant_discharge,4.0,490,1.674305,nasa_ames_b0047_discharge_0000,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0047\nasa_ames_b0047_discharge_0000.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0047.mat
B0047,92,canonical,constant_discharge,4.0,341,1.233392,nasa_ames_b0047_discharge_0092,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0047\nasa_ames_b0047_discharge_0092.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0047.mat
B0047,180,canonical,constant_discharge,4.0,294,1.156709,nasa_ames_b0047_discharge_0180,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0047\nasa_ames_b0047_discharge_0180.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0047.mat
B0048,0,canonical,constant_discharge,4.0,490,1.657996,nasa_ames_b0048_discharge_0000,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0048\nasa_ames_b0048_discharge_0000.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0048.mat
B0048,92,canonical,constant_discharge,4.0,341,1.287714,nasa_ames_b0048_discharge_0092,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0048\nasa_ames_b0048_discharge_0092.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0048.mat
B0048,180,canonical,constant_discharge,4.0,294,1.223127,nasa_ames_b0048_discharge_0180,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\backend\sim_core\truth_data\nasa_ames\canonical\b0048\nasa_ames_b0048_discharge_0180.json,C:\Users\Craig\OneDrive\Desktop\Alnoris BMSx\Data\_extracted\nasa_ames\4. BatteryAgingARC_45_46_47_48\B0048.mat
